block.0.attn.q_conv.weight,block.0.attn.q_conv.bias,block.0.attn.k_conv.weight,block.0.attn.k_conv.bias,block.0.attn.v_conv.weight,block.0.attn.v_conv.bias,block.0.attn.talking_heads.weight,block.0.attn.proj_conv.weight,block.0.attn.proj_conv.bias,block.0.mlp.fc1_conv.weight,block.0.mlp.fc1_conv.bias,block.0.mlp.fc2_conv.weight,block.0.mlp.fc2_conv.bias,head.bias,head.weight
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,747,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,756,0,25,15,4854,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,0,0,0,0,808,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,917,0,83,28,4721,1,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,1,1,1,0,0,0,0,0,0,0,0,0
14,0,3,0,1,0,0,0,0,0,0,0,0,0,0
18,1,0,0,2,0,0,0,0,0,0,0,0,0,0
14,0,1,1,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,0,1,0,2,0,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,0,1011,1,0,0,0,0,0,1
10,0,2,0,0,0,0,0,0,0,0,0,0,0,2
20,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,0,2,0,1,1,0,0,0,0,0,0,0,0,2
19,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,0,2,0,2,2,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0,2,0,2,0,0,0,0,0,0,0,0,0,2
23,0,2,0,2,0,0,1111,1,353,28,4810,1,0,1
28,0,0,0,3,0,0,0,0,0,0,0,0,0,2
30,0,3,0,4,1,0,0,0,0,0,0,0,0,1
28,0,1,0,2,1,0,0,0,0,0,0,0,0,1
25,1,1,0,3,0,0,0,0,0,0,0,0,0,2
30,0,2,0,3,0,0,0,0,0,0,0,0,0,4
21,0,3,1,6,0,0,0,0,0,0,0,0,0,2
22,0,5,1,3,0,0,0,0,0,0,0,0,0,3
43,0,4,0,4,0,0,1178,1,0,0,0,0,0,2
29,1,6,0,5,0,0,0,0,0,0,0,0,0,7
40,0,3,0,3,0,0,0,0,0,0,0,0,0,9
38,0,8,0,8,0,0,0,0,0,0,0,0,0,7
35,0,8,0,0,0,0,0,0,0,0,0,0,0,2
49,0,10,1,4,0,0,0,0,0,0,0,0,0,7
39,0,9,0,5,0,0,0,0,0,0,0,0,0,8
55,0,4,0,6,1,0,0,0,0,0,0,0,0,16
52,0,7,0,7,0,0,1354,0,1229,32,4935,1,0,12
46,1,6,0,9,0,0,0,0,0,0,0,0,0,19
46,0,4,0,3,0,0,0,0,0,0,0,0,0,17
